title,combined_text,release_year,voting
Quantum of Solace,"Adventure Action Thriller Crimekilling undercover secretagent britishsecretserviceQ u a n t u m   o f   S o l a c e   c o n t i n u e s   t h e   a d v e n t u r e s   o f   J a m e s   B o n d   a f t e r   C a s i n o   R o y a l e .   B e t r a y e d   b y   V e s p e r ,   t h e   w o m a n   h e   l o v e d ,   0 0 7   f i g h t s   t h e   u r g e   t o   m a k e   h i s   l a t e s t   m i s s i o n   p e r s o n a l .   P u r s u i n g   h i s   d e t e r m i n a t i o n   t o   u n c o v e r   t h e   t r u t h ,   B o n d   a n d   M   i n t e r r o g a t e   M r .   W h i t e ,   w h o   r e v e a l s   t h a t   t h e   o r g a n i z a t i o n   t h a t   b l a c k m a i l e d   V e s p e r   i s   f a r   m o r e   c o m p l e x   a n d   d a n g e r o u s   t h a n   a n y o n e   h a d   i m a g i n e d . 2008",2008,6.1
Pirates of the Caribbean: Dead Man's Chest,"Adventure Fantasy Actionwitch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstingerC a p t a i n   J a c k   S p a r r o w   w o r k s   h i s   w a y   o u t   o f   a   b l o o d   d e b t   w i t h   t h e   g h o s t l y   D a v e y   J o n e s ,   h e   a l s o   a t t e m p t s   t o   a v o i d   e t e r n a l   d a m n a t i o n . 2006",2006,7.0
The Lone Ranger,"Action Adventure Westerntexas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tontoT h e   T e x a s   R a n g e r s   c h a s e   d o w n   a   g a n g   o f   o u t l a w s   l e d   b y   B u t c h   C a v e n d i s h ,   b u t   t h e   g a n g   a m b u s h e s   t h e   R a n g e r s ,   s e e m i n g l y   k i l l i n g   t h e m   a l l .   O n e   s u r v i v o r   i s   f o u n d ,   h o w e v e r ,   b y   a n   A m e r i c a n   I n d i a n   n a m e d   T o n t o ,   w h o   n u r s e s   h i m   b a c k   t o   h e a l t h .   T h e   R a n g e r ,   d o n n i n g   a   m a s k   a n d   r i d i n g   a   w h i t e   s t a l l i o n   n a m e d   S i l v e r ,   t e a m s   u p   w i t h   T o n t o   t o   b r i n g   t h e   u n s c r u p u l o u s   g a n g   a n d   o t h e r s   o f   t h a t   i l k   t o   j u s t i c e . 2013",2013,5.9
Man of Steel,"Action Adventure Fantasy ScienceFictionsavingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverseA   y o u n g   b o y   l e a r n s   t h a t   h e   h a s   e x t r a o r d i n a r y   p o w e r s   a n d   i s   n o t   o f   t h i s   e a r t h .   A s   a   y o u n g   m a n ,   h e   j o u r n e y s   t o   d i s c o v e r   w h e r e   h e   c a m e   f r o m   a n d   w h a t   h e   w a s   s e n t   h e r e   t o   d o .   B u t   t h e   h e r o   i n   h i m   m u s t   e m e r g e   i f   h e   i s   t o   s a v e   t h e   w o r l d   f r o m   a n n i h i l a t i o n   a n d   b e c o m e   t h e   s y m b o l   o f   h o p e   f o r   a l l   m a n k i n d . 2013",2013,6.5
The Avengers,"ScienceFiction Action Adventurenewyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverseW h e n   a n   u n e x p e c t e d   e n e m y   e m e r g e s   a n d   t h r e a t e n s   g l o b a l   s a f e t y   a n d   s e c u r i t y ,   N i c k   F u r y ,   d i r e c t o r   o f   t h e   i n t e r n a t i o n a l   p e a c e k e e p i n g   a g e n c y   k n o w n   a s   S . H . I . E . L . D . ,   f i n d s   h i m s e l f   i n   n e e d   o f   a   t e a m   t o   p u l l   t h e   w o r l d   b a c k   f r o m   t h e   b r i n k   o f   d i s a s t e r .   S p a n n i n g   t h e   g l o b e ,   a   d a r i n g   r e c r u i t m e n t   e f f o r t   b e g i n s ! 2012",2012,7.4
Pirates of the Caribbean: On Stranger Tides,"Adventure Action Fantasysea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3dC a p t a i n   J a c k   S p a r r o w   c r o s s e s   p a t h s   w i t h   a   w o m a n   f r o m   h i s   p a s t ,   a n d   h e ' s   n o t   s u r e   i f   i t ' s   l o v e   - -   o r   i f   s h e ' s   a   r u t h l e s s   c o n   a r t i s t   w h o ' s   u s i n g   h i m   t o   f i n d   t h e   f a b l e d   F o u n t a i n   o f   Y o u t h .   W h e n   s h e   f o r c e s   h i m   a b o a r d   t h e   Q u e e n   A n n e ' s   R e v e n g e ,   t h e   s h i p   o f   t h e   f o r m i d a b l e   p i r a t e   B l a c k b e a r d ,   J a c k   f i n d s   h i m s e l f   o n   a n   u n e x p e c t e d   a d v e n t u r e   i n   w h i c h   h e   d o e s n ' t   k n o w   w h o   t o   f e a r   m o r e :   B l a c k b e a r d   o r   t h e   w o m a n   f r o m   h i s   p a s t . 2011",2011,6.4
Men in Black 3,"Action Comedy ScienceFictiontimetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistoryA g e n t s   J   ( W i l l   S m i t h )   a n d   K   ( T o m m y   L e e   J o n e s )   a r e   b a c k . . . i n   t i m e .   J   h a s   s e e n   s o m e   i n e x p l i c a b l e   t h i n g s   i n   h i s   1 5   y e a r s   w i t h   t h e   M e n   i n   B l a c k ,   b u t   n o t h i n g ,   n o t   e v e n   a l i e n s ,   p e r p l e x e s   h i m   a s   m u c h   a s   h i s   w r y ,   r e t i c e n t   p a r t n e r .   B u t   w h e n   K ' s   l i f e   a n d   t h e   f a t e   o f   t h e   p l a n e t   a r e   p u t   a t   s t a k e ,   A g e n t   J   w i l l   h a v e   t o   t r a v e l   b a c k   i n   t i m e   t o   p u t   t h i n g s   r i g h t .   J   d i s c o v e r s   t h a t   t h e r e   a r e   s e c r e t s   t o   t h e   u n i v e r s e   t h a t   K   n e v e r   t o l d   h i m   -   s e c r e t s   t h a t   w i l l   r e v e a l   t h e m s e l v e s   a s   h e   t e a m s   u p   w i t h   t h e   y o u n g   A g e n t   K   ( J o s h   B r o l i n )   t o   s a v e   h i s   p a r t n e r ,   t h e   a g e n c y ,   a n d   t h e   f u t u r e   o f   h u m a n k i n d . 2012",2012,6.2
The Hobbit: The Battle of the Five Armies,"Action Adventure Fantasycorruption elves dwarves orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorceryI m m e d i a t e l y   a f t e r   t h e   e v e n t s   o f   T h e   D e s o l a t i o n   o f   S m a u g ,   B i l b o   a n d   t h e   d w a r v e s   t r y   t o   d e f e n d   E r e b o r ' s   m o u n t a i n   o f   t r e a s u r e   f r o m   o t h e r s   w h o   c l a i m   i t :   t h e   m e n   o f   t h e   r u i n e d   L a k e t o w n   a n d   t h e   e l v e s   o f   M i r k w o o d .   M e a n w h i l e   a n   a r m y   o f   O r c s   l e d   b y   A z o g   t h e   D e f i l e r   i s   m a r c h i n g   o n   E r e b o r ,   f u e l e d   b y   t h e   r i s e   o f   t h e   d a r k   l o r d   S a u r o n .   D w a r v e s ,   e l v e s   a n d   m e n   m u s t   u n i t e ,   a n d   t h e   h o p e   f o r   M i d d l e - E a r t h   f a l l s   i n t o   B i l b o ' s   h a n d s . 2014",2014,7.1
The Amazing Spider-Man,"Action Adventure Fantasylossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstingerP e t e r   P a r k e r   i s   a n   o u t c a s t   h i g h   s c h o o l e r   a b a n d o n e d   b y   h i s   p a r e n t s   a s   a   b o y ,   l e a v i n g   h i m   t o   b e   r a i s e d   b y   h i s   U n c l e   B e n   a n d   A u n t   M a y .   L i k e   m o s t   t e e n a g e r s ,   P e t e r   i s   t r y i n g   t o   f i g u r e   o u t   w h o   h e   i s   a n d   h o w   h e   g o t   t o   b e   t h e   p e r s o n   h e   i s   t o d a y .   A s   P e t e r   d i s c o v e r s   a   m y s t e r i o u s   b r i e f c a s e   t h a t   b e l o n g e d   t o   h i s   f a t h e r ,   h e   b e g i n s   a   q u e s t   t o   u n d e r s t a n d   h i s   p a r e n t s '   d i s a p p e a r a n c e   –   l e a d i n g   h i m   d i r e c t l y   t o   O s c o r p   a n d   t h e   l a b   o f   D r .   C u r t   C o n n o r s ,   h i s   f a t h e r ' s   f o r m e r   p a r t n e r .   A s   S p i d e r - M a n   i s   s e t   o n   a   c o l l i s i o n   c o u r s e   w i t h   C o n n o r s '   a l t e r   e g o ,   T h e   L i z a r d ,   P e t e r   w i l l   m a k e   l i f e - a l t e r i n g   c h o i c e s   t o   u s e   h i s   p o w e r s   a n d   s h a p e   h i s   d e s t i n y   t o   b e c o m e   a   h e r o . 2012",2012,6.5
Robin Hood,"Action Adventurerobinhood archer knight sherwoodforest bowandarrow middleages medieval kingofenglandW h e n   s o l d i e r   R o b i n   h a p p e n s   u p o n   t h e   d y i n g   R o b e r t   o f   L o x l e y ,   h e   p r o m i s e s   t o   r e t u r n   t h e   m a n ' s   s w o r d   t o   h i s   f a m i l y   i n   N o t t i n g h a m .   T h e r e ,   h e   a s s u m e s   R o b e r t ' s   i d e n t i t y ;   r o m a n c e s   h i s   w i d o w ,   M a r i o n ;   a n d   d r a w s   t h e   i r e   o f   t h e   t o w n ' s   s h e r i f f   a n d   K i n g   J o h n ' s   h e n c h m a n ,   G o d f r e y . 2010",2010,6.2
The Hobbit: The Desolation of Smaug,"Adventure Fantasyelves dwarves orcs hobbit dragon wizard swordandsorceryT h e   D w a r v e s ,   B i l b o   a n d   G a n d a l f   h a v e   s u c c e s s f u l l y   e s c a p e d   t h e   M i s t y   M o u n t a i n s ,   a n d   B i l b o   h a s   g a i n e d   t h e   O n e   R i n g .   T h e y   a l l   c o n t i n u e   t h e i r   j o u r n e y   t o   g e t   t h e i r   g o l d   b a c k   f r o m   t h e   D r a g o n ,   S m a u g . 2013",2013,7.6
The Golden Compass,"Adventure Fantasyengland compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovelA f t e r   o v e r h e a r i n g   a   s h o c k i n g   s e c r e t ,   p r e c o c i o u s   o r p h a n   L y r a   B e l a c q u a   t r a d e s   h e r   c a r e f r e e   e x i s t e n c e   r o a m i n g   t h e   h a l l s   o f   J o r d a n   C o l l e g e   f o r   a n   o t h e r w o r l d l y   a d v e n t u r e   i n   t h e   f a r   N o r t h ,   u n a w a r e   t h a t   i t ' s   p a r t   o f   h e r   d e s t i n y . 2007",2007,5.8
Titanic,"Drama Romance Thrillershipwreck iceberg ship panic titanic oceanliner epic richwoman-poorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s8 4   y e a r s   l a t e r ,   a   1 0 1 - y e a r - o l d   w o m a n   n a m e d   R o s e   D e W i t t   B u k a t e r   t e l l s   t h e   s t o r y   t o   h e r   g r a n d d a u g h t e r   L i z z y   C a l v e r t ,   B r o c k   L o v e t t ,   L e w i s   B o d i n e ,   B o b b y   B u e l l   a n d   A n a t o l y   M i k a i l a v i c h   o n   t h e   K e l d y s h   a b o u t   h e r   l i f e   s e t   i n   A p r i l   1 0 t h   1 9 1 2 ,   o n   a   s h i p   c a l l e d   T i t a n i c   w h e n   y o u n g   R o s e   b o a r d s   t h e   d e p a r t i n g   s h i p   w i t h   t h e   u p p e r - c l a s s   p a s s e n g e r s   a n d   h e r   m o t h e r ,   R u t h   D e W i t t   B u k a t e r ,   a n d   h e r   f i a n c é ,   C a l e d o n   H o c k l e y .   M e a n w h i l e ,   a   d r i f t e r   a n d   a r t i s t   n a m e d   J a c k   D a w s o n   a n d   h i s   b e s t   f r i e n d   F a b r i z i o   D e   R o s s i   w i n   t h i r d - c l a s s   t i c k e t s   t o   t h e   s h i p   i n   a   g a m e .   A n d   s h e   e x p l a i n s   t h e   w h o l e   s t o r y   f r o m   d e p a r t u r e   u n t i l   t h e   d e a t h   o f   T i t a n i c   o n   i t s   f i r s t   a n d   l a s t   v o y a g e   A p r i l   1 5 t h ,   1 9 1 2   a t   2 : 2 0   i n   t h e   m o r n i n g . 1997",1997,7.5
Captain America: Civil War,"Adventure Action ScienceFictioncivilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3dF o l l o w i n g   t h e   e v e n t s   o f   A g e   o f   U l t r o n ,   t h e   c o l l e c t i v e   g o v e r n m e n t s   o f   t h e   w o r l d   p a s s   a n   a c t   d e s i g n e d   t o   r e g u l a t e   a l l   s u p e r h u m a n   a c t i v i t y .   T h i s   p o l a r i z e s   o p i n i o n   a m o n g s t   t h e   A v e n g e r s ,   c a u s i n g   t w o   f a c t i o n s   t o   s i d e   w i t h   I r o n   M a n   o r   C a p t a i n   A m e r i c a ,   w h i c h   c a u s e s   a n   e p i c   b a t t l e   b e t w e e n   f o r m e r   a l l i e s . 2016",2016,7.1
Jurassic World,"Action Adventure ScienceFiction Thrillermonster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorrorT w e n t y - t w o   y e a r s   a f t e r   t h e   e v e n t s   o f   J u r a s s i c   P a r k ,   I s l a   N u b l a r   n o w   f e a t u r e s   a   f u l l y   f u n c t i o n i n g   d i n o s a u r   t h e m e   p a r k ,   J u r a s s i c   W o r l d ,   a s   o r i g i n a l l y   e n v i s i o n e d   b y   J o h n   H a m m o n d . 2015",2015,6.5
Skyfall,"Action Adventure Thrillerspy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macaoW h e n   B o n d ' s   l a t e s t   a s s i g n m e n t   g o e s   g r a v e l y   w r o n g   a n d   a g e n t s   a r o u n d   t h e   w o r l d   a r e   e x p o s e d ,   M I 6   i s   a t t a c k e d   f o r c i n g   M   t o   r e l o c a t e   t h e   a g e n c y .   T h e s e   e v e n t s   c a u s e   h e r   a u t h o r i t y   a n d   p o s i t i o n   t o   b e   c h a l l e n g e d   b y   G a r e t h   M a l l o r y ,   t h e   n e w   C h a i r m a n   o f   t h e   I n t e l l i g e n c e   a n d   S e c u r i t y   C o m m i t t e e .   W i t h   M I 6   n o w   c o m p r o m i s e d   f r o m   b o t h   i n s i d e   a n d   o u t ,   M   i s   l e f t   w i t h   o n e   a l l y   s h e   c a n   t r u s t :   B o n d .   0 0 7   t a k e s   t o   t h e   s h a d o w s   -   a i d e d   o n l y   b y   f i e l d   a g e n t ,   E v e   -   f o l l o w i n g   a   t r a i l   t o   t h e   m y s t e r i o u s   S i l v a ,   w h o s e   l e t h a l   a n d   h i d d e n   m o t i v e s   h a v e   y e t   t o   r e v e a l   t h e m s e l v e s . 2012",2012,6.9
Spider-Man 2,"Action Adventure Fantasydualidentity loveofone'slife pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillainP e t e r   P a r k e r   i s   g o i n g   t h r o u g h   a   m a j o r   i d e n t i t y   c r i s i s .   B u r n e d   o u t   f r o m   b e i n g   S p i d e r - M a n ,   h e   d e c i d e s   t o   s h e l v e   h i s   s u p e r h e r o   a l t e r   e g o ,   w h i c h   l e a v e s   t h e   c i t y   s u f f e r i n g   i n   t h e   w a k e   o f   c a r n a g e   l e f t   b y   t h e   e v i l   D o c   O c k .   I n   t h e   m e a n t i m e ,   P a r k e r   s t i l l   c a n ' t   a c t   o n   h i s   f e e l i n g s   f o r   M a r y   J a n e   W a t s o n ,   a   g i r l   h e ' s   l o v e d   s i n c e   c h i l d h o o d . 2004",2004,6.7
Iron Man 3,"Action Adventure ScienceFictionterrorist waronterror tennessee malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse mandarin 3d warmachine ironpatriot extremisW h e n   T o n y   S t a r k ' s   w o r l d   i s   t o r n   a p a r t   b y   a   f o r m i d a b l e   t e r r o r i s t   c a l l e d   t h e   M a n d a r i n ,   h e   s t a r t s   a n   o d y s s e y   o f   r e b u i l d i n g   a n d   r e t r i b u t i o n . 2013",2013,6.8
Alice in Wonderland,"Family Fantasy Adventurebasedonnovel fictionalplace queen fantasy aliceinwonderland fantasyworld 3dA l i c e ,   a n   u n p r e t e n t i o u s   a n d   i n d i v i d u a l   1 9 - y e a r - o l d ,   i s   b e t r o t h e d   t o   a   d u n c e   o f   a n   E n g l i s h   n o b l e m a n .   A t   h e r   e n g a g e m e n t   p a r t y ,   s h e   e s c a p e s   t h e   c r o w d   t o   c o n s i d e r   w h e t h e r   t o   g o   t h r o u g h   w i t h   t h e   m a r r i a g e   a n d   f a l l s   d o w n   a   h o l e   i n   t h e   g a r d e n   a f t e r   s p o t t i n g   a n   u n u s u a l   r a b b i t .   A r r i v i n g   i n   a   s t r a n g e   a n d   s u r r e a l   p l a c e   c a l l e d   ' U n d e r l a n d , '   s h e   f i n d s   h e r s e l f   i n   a   w o r l d   t h a t   r e s e m b l e s   t h e   n i g h t m a r e s   s h e   h a d   a s   a   c h i l d ,   f i l l e d   w i t h   t a l k i n g   a n i m a l s ,   v i l l a i n o u s   q u e e n s   a n d   k n i g h t s ,   a n d   f r u m i o u s   b a n d e r s n a t c h e s .   A l i c e   r e a l i z e s   t h a t   s h e   i s   t h e r e   f o r   a   r e a s o n   –   t o   c o n q u e r   t h e   h o r r i f i c   J a b b e r w o c k y   a n d   r e s t o r e   t h e   r i g h t f u l   q u e e n   t o   h e r   t h r o n e . 2010",2010,6.4
Transformers: Revenge of the Fallen,"ScienceFiction Action Adventureegypt sun chaos symbol artifact transformers tank robot imax duringcreditsstingerS a m   W i t w i c k y   l e a v e s   t h e   A u t o b o t s   b e h i n d   f o r   a   n o r m a l   l i f e .   B u t   w h e n   h i s   m i n d   i s   f i l l e d   w i t h   c r y p t i c   s y m b o l s ,   t h e   D e c e p t i c o n s   t a r g e t   h i m   a n d   h e   i s   d r a g g e d   b a c k   i n t o   t h e   T r a n s f o r m e r s '   w a r . 2009",2009,6.0
Transformers: Age of Extinction,"ScienceFiction Action Adventuresequel alien transformers giantrobot robot imax transformingrobotA s   h u m a n i t y   p i c k s   u p   t h e   p i e c e s ,   f o l l o w i n g   t h e   c o n c l u s i o n   o f   "" T r a n s f o r m e r s :   D a r k   o f   t h e   M o o n , ""   A u t o b o t s   a n d   D e c e p t i c o n s   h a v e   a l l   b u t   v a n i s h e d   f r o m   t h e   f a c e   o f   t h e   p l a n e t .   H o w e v e r ,   a   g r o u p   o f   p o w e r f u l ,   i n g e n i o u s   b u s i n e s s m a n   a n d   s c i e n t i s t s   a t t e m p t   t o   l e a r n   f r o m   p a s t   T r a n s f o r m e r   i n c u r s i o n s   a n d   p u s h   t h e   b o u n d a r i e s   o f   t e c h n o l o g y   b e y o n d   w h a t   t h e y   c a n   c o n t r o l   -   a l l   w h i l e   a n   a n c i e n t ,   p o w e r f u l   T r a n s f o r m e r   m e n a c e   s e t s   E a r t h   i n   h i s   c r o s s - h a i r s . 2014",2014,5.8
Oz: The Great and Powerful,"Fantasy Adventure Familycircus witch magic hope illusion lost magictrick wizard 3dO s c a r   D i g g s ,   a   s m a l l - t i m e   c i r c u s   i l l u s i o n i s t   a n d   c o n - a r t i s t ,   i s   w h i s k e d   f r o m   K a n s a s   t o   t h e   L a n d   o f   O z   w h e r e   t h e   i n h a b i t a n t s   a s s u m e   h e ' s   t h e   g r e a t   w i z a r d   o f   p r o p h e c y ,   t h e r e   t o   s a v e   O z   f r o m   t h e   c l u t c h e s   o f   e v i l . 2013",2013,5.7
